about вокруг
above наверху
abruptly внезапно
absolutely абсолютно
accent акцент
accept принимать
access доступ
accident случай
accompany сопровождать
according согласно
account счет
ace очко
across через
act дело
action поступок
activity деятельность
actor актер
actually фактически
add прибавлять
address адрес
admiral адмирал 
admire восхищаться
admit впускать
advance прогресс
advantage преимущество
advice совет
affair дело 
afford предоставлять
afraid испуганный
after после
afternoon полудня 
again снова
against против
age век
agency агентство
agent агент
baby ребенок
back обратно
background происхождение
backward наоборот
bad плохой
badly плохо
bag мешок 
balance равновесие
balcony балкон 
ball шар
band лента 
bandage бинт
bang удар
bank банк
bar бар
bare голый
barely едва
bark лай
barrel бочка
bartender бармен
base основа
baseball бейсбол 
basement фундамент
basket корзина 
bastard ублюдок
bat летучая_мышь
bath ванна 
bathroom ванная
batter сильно_бить
battle битва
bay бухта 
beach пляж_взморье 
beam луч_сияние
bean боб 
bear медведь
beard борода
beast зверь
beautiful прекрасный 
beauty красота
bed кровать
bedroom спальня 
cab такси
cabin хижина 
cabinet кабинет
cable канат
cage тюрьма
call звонок 
calm тихий
camera кинокамера 
camp лагерь 
can уметь
candle свеча 
cause причина
cautiously осторожно
cave пещера
ceiling потолок 
cell карцер
central главный 
certainly несомненно
chain оковы
chair стул
chamber комната
champagne шампанское 
danger опасность 
dangerous опасный 
dawn рассвет
day день
dead мертвый
deadly смертельный
deal доля
dealer торговец
dear дорогой
death смерть 
debris осколки
degree степень
delight удовольствие
deliver доставлять
demand требование
each каждый
ear ухо 
early ранний
earn зарабатывать
earth земля
ease свобода
easily легко
egg яйцо 
eight восемь
eighteen восемнадцать 
eighty восемьдесят 
either любой
elbow изгиб 
electric электрический 
elevator лифт 
eleven одиннадцать
else еще
embarrass стеснять
embrace объятие
energy энергия
engage обрученный 
engine мотор 
engineer инженер
enjoy получать_удовольствиe
enormous громадный
enough достаточно 
enter входить
entire целый
entirely полностью
entrance вход 
face лицо
fact факт 
fail подводить 
faint слабый
fair честный
fairly справедливо
faith вера
familiar знакомы
family семья 
famous известный
fan вентилятор
favour расположение
favourite любимый 
fear страх 
feature особенность
federal федеральный
feed питаться
few несколько
game игра
gang группа
garage гараж 
garbage отбросы
garden сад 
gas газ
gasp задыхаться
gate ворота
gaze пристально_глядеть
gear механизм
gene биол
general общий
gentle мягкий 
gentleman джентльмен
gently нежно
gesture жест
ghost призрак
giant великан
gift подарок
gin джин 
ginger разг
girl девочка
girlfriend подруга
glad радостный
glance взгляд
glare ослепительный
glass стекло
gleam проблеск
glimpse мелькание
glove перчатка
glow свет
hair волосы
half половина
hall зал
hallway коридор
halt остановка
hammer молоток
hand рука
handle ручка
handsome красивый
hang висеть
happen происходить 
happy счастливый
harbour порт
hard твердый
hardly едва
harm вред
hat шляпа 
hatch крышка_люка
hate ненавидеть 
haul тянуть
have иметь
hawk ястреб 
he он 
head голова
headlight фара 
headquarters штаб
hear слышать
heart сердце 
identify отождествлять
idiot идиот 
if если 
ignore игнорировать
ill больной
illuminate освещать
image образ
imagine воображать
immediately немедленно 
impact влияние
important важный
impossible невозможный 
impress отпечатывать
impression впечатление 
inch дюйм 
include включать
increase возрастать
incredible невероятный
indeed в_самом_деле
indicate указывать
individual личность
inform сообщать
information информация
jacket куртка
jail тюрьма 
jam давка
jar дребезжание
jaw челюсть
jeans джинсы 
jeep джип 
jerk резкое_движение
Jesus боже
job работа
joint место_соединения
joke шутка
joker шутник
journey путешествие 
joy радость
judge судья
jump прыжок
jungle джунгли 
junior младший 
just только_что
justice справедливость
keep держать
key ключ 
kid ребенок
kill убивать
killer убийца
kind сорт
king король 
kiss поцелуй
kitchen кухня 
knee колено
kneel становиться_на_колени
